Program Type,Start Year,Region,Highway,Location,Type Of Work,Highway Program Status,Target Completion,Contract #,Project Length (kilometres),Estimated Cost Range,Engineering Status,Delivery Method
Rehab,2027-2028,"North, East",11,"Unnamed culvert, 3.4 km north of Hwy 560, Englehart",Culvert rehabilitation,Planned,Not available,,0,$0 to $10 million,Design in procurement,To be determined
Rehab,2027-2028,"North, East",569,"Moose Creek Culvert, Couttsville",Culvert rehabilitation,Planned,Not available,,0,$0 to $10 million,Design in procurement,To be determined
Rehab,2027-2028,"North, East","101, 129","Hwy 129 from north junction of Hwy 101 northerly to Chapleau and Hwy 101 from the south junction of Hwy 129 easterly and Poulin Creek Culvert, Chapleau","Culvert replacement, Resurfacing",Planned,Not available,,35.1,$25 to $100 million,Design underway,To be determined
Rehab,2027-2028,"North, East",11,"Net Lake Bridge, Temagami",Bridge rehabilitation,Planned,Not available,,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",11,"0.1 km south of Lakeshore Dr. northerly 0.7 km, Temagami",Resurfacing,Planned,2027-2028,2025-5021,0.7,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, East",655,"14 km south of Hwy 11 to Hwy 11, Driftwood",Resurfacing,Planned,Not available,,14,$10 to $25 million,Design in procurement,To be determined
Rehab,2027-2028,"North, East",11,"6.5 km to 18.3 km north of Hwy 570, Sesekinika",Resurfacing,Planned,2027-2028,,11.8,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",11,"Driftwood to 2.9 km north of Hwy 634, Smooth Rock Falls","Resurfacing, Paved shoulders",Planned,Not available,,25.9,$25 to $100 million,Design in procurement,To be determined
Rehab,2027-2028,"North, East",11,"Hwy 663 to 7.7 km east of Hwy 631, Calstock","Resurfacing, Paved shoulders",Planned,2027-2028,,21.1,$10 to $25 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",519,"Magpie River Bridge, Dubreuilville",Bridge rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",69,"North junction of Hwy 529 to Hwy 522, Still River","Resurfacing, Intersection improvements",Planned,2027-2028,,18,$10 to $25 million,Design underway,To be determined
Rehab,2027-2028,"North, East",60,"Renfrew-Nipissing boundary to Hwy 523, Madawaska","Resurfacing, Paved shoulders",Planned,Not available,,13.5,$10 to $25 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",6,"CPR Swing Bridge (North Channel), north of Little Current",Bridge replacement,Planned,Not available,,0,$100 to $250 million,Design in procurement,To be determined
Rehab,2027-2028,"North, East",63,"16.7 km south of Hwy 533 northerly, Balsam Creek",Resurfacing,Planned,2027-2028,,17.8,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",562,"Unknown creek culvert, 4.9 km west of Hwy 11, Earlton",Culvert replacement,Planned,2027-2028,,0,$0 to $10 million,Design in procurement,To be determined
Rehab,2027-2028,"North, East",11,"Poplar Rapids River Bridge, 13.5 km west of Hwy 634, Smooth Rock Falls",Bridge replacement,Planned,Not available,2024-5008,0,$10 to $25 million,Design underway,To be determined
